topic,text
Car tires (Tayar kereta)," Weh, tayar spare kau ada angin tak?  Ada, baru check semalam."
Car tires (Tayar kereta)," Tayar ni sesuai untuk jimat minyak?  Ya, low rolling resistance."
Car tires (Tayar kereta)," Tayar ni made in mana, boss?  Ni dari Thailand, kualiti okay."
Car tires (Tayar kereta), Tayar aku tiba-tiba bergegar.  Balancing lari kot.
Car tires (Tayar kereta)," Weh, tayar kau bersih gila.  Baru wax la, tu yang kilat."
Car tires (Tayar kereta), Tayar ni berapa lama life span dia?  Empat tahun atau 60k km kot.
Car tires (Tayar kereta)," Ni tayar run-flat ke?  Ya, mahal sikit ni."
Car tires (Tayar kereta)," Boss, tayar aku kena tukar semua ke?  Depan dua je kot."
Car tires (Tayar kereta)," Tayar tu ada jual di hypermarket tak?  Ada, tapi pilihan tak banyak la."
Car tires (Tayar kereta)," Minyak habis, tayar pulak pancit.  Hari yang malang la ni."
Car tires (Tayar kereta)," Weh, tayar belakang ada paku.  Pergi tampal cepat, bahaya."
Car tires (Tayar kereta), Tayar ni berapa PSI patut pam?  Tengok sticker kat pintu kereta.
Car tires (Tayar kereta)," Tayar tu bising tak kat highway?  Tak sangat, senyap je."
Car tires (Tayar kereta)," Tayar ni memang mahal gila.  Kualiti mantap, tu yang mahal."
Car tires (Tayar kereta)," Boss, tayar ni ada diskaun tak?  Untuk you, kita bagi special price."
Car tires (Tayar kereta)," Weh, tayar kereta aku makan tepi.  Alignment rosak tu."
Car tires (Tayar kereta)," Tayar ni kena tukar kalau retak halus?  Ya, bahaya, getah dah mati."
Car tires (Tayar kereta)," Ni tayar second hand, tapi masih okay.  Harga murah, boleh la."
Car tires (Tayar kereta)," Tayar tu untuk musim hujan ke?  Ya, ada bunga untuk cengkaman baik."
Car tires (Tayar kereta)," Minyak dah penuh, tayar pun dah pam.  Mantap, ready nak jalan."
Car tires (Tayar kereta)," Weh, tayar aku dah lama tak servis.  Pergi buat balancing rotation la."
Car tires (Tayar kereta), Tayar ni rasa keras sangat.  Mungkin angin terlebih kot.
Car tires (Tayar kereta)," Boss, tayar ni ada protection plan?  Ada, boleh tambah sikit je."
Car tires (Tayar kereta)," Tayar tu boleh repair ke kalau rosak?  Tengok kerosakan, kadang boleh."
Car tires (Tayar kereta)," Ni tayar celup ke original?  Original la, mana ada celup lagi."
Car tires (Tayar kereta)," Weh, tayar kereta aku slip.  Mungkin bunga dah kurang tu."
Car tires (Tayar kereta)," Tayar ni kalau bengkak, boleh pakai lagi?  Jangan, bahaya, boleh pecah."
Car tires (Tayar kereta), Tayar ni sesuai untuk kereta apa?  Untuk sedan macam ni okay la.
Car tires (Tayar kereta)," Boss, tayar aku dah haus sebelah.  Kena buat alignment balik."
Car tires (Tayar kereta)," Tayar tu ada bunyi berdecit.  Break pad kot, bukan tayar."
Car tires (Tayar kereta)," Minyak mahal, tapi tayar kena jaga.  Betul, keselamatan penting."
Car tires (Tayar kereta)," Weh, tayar depan aku ada benjol.  Hati-hati, tu nak pecah dah."
Car tires (Tayar kereta), Tayar ni boleh pakai sampai bila?  Sampai bunga dia habis la.
Car tires (Tayar kereta)," Ni tayar all-season ke?  Ya, untuk semua cuaca."
Car tires (Tayar kereta)," Boss, tayar ni cepat rosak tak?  Ikut cara drive you la."
Car tires (Tayar kereta)," Tayar tu murah, tapi cepat botak.  Biasa la, harga ikut kualiti."
Car tires (Tayar kereta)," Weh, tayar aku bau hangit la.  Brake jammed kot, bukan tayar."
Car tires (Tayar kereta)," Tayar ni ada jual online platform lain?  Ada, tapi harga mahal sikit."
Car tires (Tayar kereta)," Ni tayar re-tread ke?  Bukan, ni tayar baru, boss."
Car tires (Tayar kereta), Tayar aku dah lama tak cuci.  Nanti nampak kotor la tu.
Car tires (Tayar kereta)," Minyak habis, nasib tayar elok.  Fuh, lega sikit la."
Car tires (Tayar kereta)," Weh, tayar belakang ada skru.  Alamak, kena tukar tayar tu."
Car tires (Tayar kereta)," Tayar ni ada sensor tekanan tak?  Ada, built-in TPMS."
Car tires (Tayar kereta)," Tayar kereta aku pancit la weh.  Alamak, kena tukar spare tu."
Car tires (Tayar kereta)," Ni tayar dah botak, kot.  Ya la, bahaya tu."
Car tires (Tayar kereta)," Harga tayar sekarang mahal gila weh.  Betul la, habis duit ni."
Car tires (Tayar kereta)," Boss, tayar aku boleh repair ke ni?  Kena tengok dulu, cik."
Car tires (Tayar kereta)," Minyak hitam dah tukar, tapi tayar lupa cek.  Penting tu, weh."
Car tires (Tayar kereta)," Tayar sport tu mantap gila performance dia.  Ya, tapi mahal la."
Car tires (Tayar kereta), Ni tayar baru ke? Nampak smart.  Baru tukar semalam la.
Car tires (Tayar kereta)," Tayar belakang dah haus teruk, kot.  Kena ganti cepat tu."
Car tires (Tayar kereta)," Ada promo tayar tak boss?  Ada, bulan ni ada diskaun."
Car tires (Tayar kereta), Tayar pancit sebab terpijak paku la ni.  Biasa la tu.
Car tires (Tayar kereta), Pressure tayar ni rendah sangat.  Kena pam balik tu.
Car tires (Tayar kereta)," Tayar depan tu dah senget, kot.  Alignment lari la tu."
Car tires (Tayar kereta)," Brand tayar apa yang bagus, weh?  Michelin okay, tapi mahal."
Car tires (Tayar kereta)," Tayar aku dah rosak teruk kena side wall.  Adoi, memang kena ganti la tu."
Car tires (Tayar kereta)," Minggu depan nak tukar tayar baru.  Mantap la tu, selamat sikit."
Car tires (Tayar kereta), Tayar ni dah expired ke?  Kena cek DOT code dia la.
Car tires (Tayar kereta)," Mana nak cari tayar murah sikit ni?  Cuba cari online, kot."
Car tires (Tayar kereta)," Tayar spare ada angin tak?  Tak pasti, lupa nak cek."
Car tires (Tayar kereta)," Servis tayar termasuk balancing sekali ke?  Ya, biasanya termasuk la."
Car tires (Tayar kereta), Tayar aku selalu pancit je.  Mungkin ada bocor halus tu.
Car tires (Tayar kereta)," Tayar Yokohama ni mantap grip dia.  Aku pun pakai tu, weh."
Car tires (Tayar kereta)," Tayar ni bunyi bising sangat la.  Mungkin bearing rosak, kot."
Car tires (Tayar kereta)," Tukar tayar ni berapa lama, boss?  Setengah jam siap la."
Car tires (Tayar kereta)," Tayar basah ni bahaya, licin.  Betul, kena hati-hati drive."
Car tires (Tayar kereta), Mana nak buang tayar lama ni?  Kedai tayar boleh tolong buangkan.
Car tires (Tayar kereta)," Nak beli tayar celup ke?  Jangan la, bahaya tu."
Car tires (Tayar kereta)," Tayar ni dah keras sangat, tak selesa.  Memang kena tukar la tu."
Car tires (Tayar kereta)," Boss, boleh cekkan tayar kereta aku?  Boleh, bawa masuk sini."
Car tires (Tayar kereta), Tayar belakang dah makan sebelah.  Alignment memang lari habis tu.
Car tires (Tayar kereta)," Tayar run-flat tu mahal gila, weh.  Tapi ada extra safety la."
Car tires (Tayar kereta)," Tayar ni ada warranty tak?  Ada, setahun manufacturer warranty."
Car tires (Tayar kereta), Aku rasa tayar aku tak balance.  Bawa pergi kedai cek la.
Car tires (Tayar kereta)," Tayar dah pecah tiba-tiba atas highway.  Seramnya, nasib baik selamat."
Car tires (Tayar kereta)," Tayar ni ada tahun pembuatan dia ke?  Ada, empat digit kat tepi tu."
Car tires (Tayar kereta)," Boleh pakai tayar berlainan saiz ke?  Tak boleh, bahaya tu."
Car tires (Tayar kereta)," Tayar botak kena saman tak?  Memang kena la, weh."
Car tires (Tayar kereta)," Berapa kos tukar empat tayar ni, boss?  Tengok brand, boleh beza."
Car tires (Tayar kereta)," Tayar baru ni grip dia mantap.  Ya, rasa confident sikit drive."
Car tires (Tayar kereta)," Tayar Michelin Energy tu jimat minyak ke?  Kot la, dia low rolling resistance."
Car tires (Tayar kereta), Tayar kereta aku berat semacam.  Tayar pancit ke tu?
Car tires (Tayar kereta)," Musim hujan ni, tayar bunga dalam penting.  Betul, elak aquaplaning."
Car tires (Tayar kereta)," Aku tukar tayar Bridgestone, okay tak?  Okay la tu, brand popular."
Car tires (Tayar kereta)," Tayar tu boleh tampal je kot?  Kalau bocor kecil, boleh la."
Car tires (Tayar kereta)," Kena rotate tayar every berapa km?  Biasanya setiap 10,000 km."
Car tires (Tayar kereta), Tayar ni dah lama sangat tak tukar.  Kena tukar sebelum rosak la.
Car tires (Tayar kereta)," Tayar ContiMaxContact ni bagus untuk hujan.  Ya, memang mantap grip dia."
Car tires (Tayar kereta), Tayar ni cepat sangat haus la.  Mungkin alignment tak betul tu.
Car tires (Tayar kereta)," Boss, ada tayar second hand tak?  Takde la, kita jual baru je."
Car tires (Tayar kereta)," Tayar ni sesuai untuk off-road ke?  Tak, ni tayar biasa je."
Car tires (Tayar kereta)," Aku terlanggar lubang, tayar dah benjol.  Adoi, rosak la tu."
Car tires (Tayar kereta)," Tayar kereta aku nak pakai angin nitrogen.  Bagus tu, pressure lebih stabil."
Car tires (Tayar kereta)," Tayar GoodYear ni murah sikit, kot.  Ya, budget-friendly la."
Car tires (Tayar kereta), Tayar ni tak boleh simpan lama-lama ke?  Dia akan keras dan retak.
Car tires (Tayar kereta)," Kena buat balancing tayar setiap kali tukar ke?  Ya, wajib tu."
Car tires (Tayar kereta)," Tayar basah ni kena drive slow.  Betul, elak dari terbabas."
Car tires (Tayar kereta)," Berapa lama boleh tahan tayar ni?  Empat lima tahun, kot."
Car tires (Tayar kereta)," Tayar ni tak muat rim aku la.  Salah saiz tu, weh."
Car tires (Tayar kereta)," Nak tukar tayar ni ke?  Tak payah, bunga masih tebal."
Car tires (Tayar kereta)," Tayar aku dah pancit tapi takde spare.  Call tow truck la, weh."
Car tires (Tayar kereta)," Tayar belakang kereta aku selalu kurang angin.  Kena check valve cap tu, kot."
Car tires (Tayar kereta)," Tayar ni sesuai untuk perjalanan jauh ke?  Ya, ni touring tyre."
Car tires (Tayar kereta)," Boss, berapa harga sebiji tayar ni?  Tengok saiz dan brand."
Car tires (Tayar kereta), Tayar ni ada kesan retak halus.  Kena tukar cepat sebelum pecah.
Car tires (Tayar kereta), Tayar ni nampak macam kurang angin je.  Mari kita cek tekanan dia.
Car tires (Tayar kereta)," Tayar sport mahal sebab compound dia lain.  Ya, untuk grip lebih mantap."
Car tires (Tayar kereta)," Tayar kereta aku bergegar bila laju.  Balancing lari la tu, weh."
Car tires (Tayar kereta), Kedai tayar mana yang okay service dia?  Kedai Ah Beng tu okay la.
Car tires (Tayar kereta)," Tayar ni boleh tukar sebelah je ke?  Tak digalakkan, kot."
Car tires (Tayar kereta)," Tayar ni baru, tapi nampak macam kotor.  Habuk kedai je tu."
Car tires (Tayar kereta), Nak cuci tayar pakai sabun apa?  Sabun biasa pun boleh.
Car tires (Tayar kereta)," Tayar ni sesuai untuk musim panas ke?  Ya, ni all-season tyre."
Car tires (Tayar kereta)," Tayar kereta aku dah masuk 50,000km.  Dah patut tukar baru la tu."
Car tires (Tayar kereta)," Ada tayar untuk EV tak boss?  Ada, tayar low resistance kita ada."
Car tires (Tayar kereta), Tayar ni nampak macam ada benang keluar.  Rosak teruk dah tu.
Car tires (Tayar kereta)," Tayar ni berat sangat, susah nak angkat.  Betul, tayar lori lagi berat."
Car tires (Tayar kereta)," Tayar ni boleh masuk air ke?  Tak boleh la, kan filled with air."
Car tires (Tayar kereta)," Tayar ni dah takde bunga, licin gila.  Jangan drive la, bahaya."
Car tires (Tayar kereta)," Boss, boleh pasang tayar ni sekarang?  Boleh, setengah jam siap."
Car tires (Tayar kereta)," Tayar depan je yang botak, weh.  Rotation tak buat la tu."
Car tires (Tayar kereta), Tayar ni rasa macam ada gelombang.  Mungkin tayar dah tak bulat.
Car tires (Tayar kereta)," Tayar ni boleh repair kat rumah ke?  Kalau bocor kecil, boleh la."
Car tires (Tayar kereta)," Tayar ni dah nak meletup ke?  Jangan cakap macam tu, weh."
Car tires (Tayar kereta), Tayar ni rasa macam berat sebelah.  Kena buat balancing la.
Car tires (Tayar kereta)," Tayar ni ada beza untuk kereta automatik ke manual?  Takde beza la, sama je."
Car tires (Tayar kereta), Tayar ni dah jadi keras macam batu.  Memang kena tukar la tu.
Car tires (Tayar kereta)," Boss, tayar ni boleh dapat diskaun lagi?  Dah harga promosi ni."
Car tires (Tayar kereta)," Tayar ni boleh pakai berapa tahun, kot?  Maksimum lima tahun je."
Car tires (Tayar kereta), Tayar belakang dah haus tapi depan okay lagi.  Kena buat rotation tu.
Car tires (Tayar kereta), Tayar ni rasa macam takde grip langsung.  Dah botak sangat la tu.
Car tires (Tayar kereta)," Tayar ni dah berlubang besar.  Tak boleh tampal, kena ganti."
Car tires (Tayar kereta)," Tayar ni sesuai untuk highway je ke?  Ya, ni highway terrain."
Car tires (Tayar kereta)," Tayar aku dah lama tak cek angin.  Kena cek selalu, weh."
Car tires (Tayar kereta)," Tayar tu boleh pakai sampai botak licin ke?  Bahaya la, jangan la."
Car tires (Tayar kereta)," Tayar ni ada valve cap baru tak?  Ada, nanti kita pasangkan."
Car tires (Tayar kereta)," Tayar ni mahal, tapi berbaloi.  Ya, keselamatan penting."
Car tires (Tayar kereta)," Tayar kereta aku dah mula bunyi.  Mungkin bunga dah keras, kot."
Car tires (Tayar kereta), Tayar ni rim dah bengkok sekali.  Kena tukar rim sekali la.
Car tires (Tayar kereta), Tayar ni ada sensor tekanan tak?  Sesetengah kereta ada TPMS.
Car tires (Tayar kereta)," Tayar ni nampak nipis sangat la.  Tu low profile tyre, weh."
Car tires (Tayar kereta)," Boss, tayar ni ada stock tak?  Ada, saiz ni selalu ada."
Car tires (Tayar kereta)," Weh, tayar depan aku macam kurang angin la.  Pergi pam je tu."
Car tires (Tayar kereta)," Tayar ni dah botak gila, kena tukar kot.  Tu la, bahaya dah tu."
Car tires (Tayar kereta)," Boss, tayar ni boleh repair ke?  Boleh, paku kecil je ni."
Car tires (Tayar kereta)," Harga tayar sekarang mahal sangat la.  Ya weh, semua barang naik."
Car tires (Tayar kereta)," Tayar Michelin ni memang mantap gila.  Betul, tapi harga dia pun."
Car tires (Tayar kereta)," Aku rasa tayar belakang ni dah rosak.  Kenapa, ada bunyi ke?"
Car tires (Tayar kereta), Tayar baru ni grip dia macam power la.  Selamat sikit drive.
Car tires (Tayar kereta)," Tayar spare aku pun dah pancit.  Alamak, habis la kau."
Car tires (Tayar kereta), Mana nak cari tayar murah ni weh?  Cuba cari online kot.
Car tires (Tayar kereta)," Tayar ni tak balance la, steering gegar.  Kena pergi buat alignment tu."
Car tires (Tayar kereta)," Tayar aku dah makan tepi, pelik la.  Alignment dah lari kot."
Car tires (Tayar kereta)," Bos, tukar tayar empat-empat.  Baik, nak brand apa boss?"
Car tires (Tayar kereta)," Tayar ni dah pecah tepi, rosak terus.  Haish, parah tu."
Car tires (Tayar kereta), Tayar ni boleh pakai lagi dua bulan kot?  Tengok bunga dia la.
Car tires (Tayar kereta)," Aku nak tayar senyap sikit la.  Tayar comfort ada, tapi mahal sikit."
Car tires (Tayar kereta), Tayar ni nampak flat la weh.  Cepat pergi workshop terdekat.
Car tires (Tayar kereta)," Tayar ni ada warranty tak boss?  Ada, setahun untuk manufacturer defect."
Car tires (Tayar kereta)," Rim bengkok, tu yang tayar rosak.  Kena tukar sekali la tu."
Car tires (Tayar kereta)," Tayar ni dah kena paku ke?  Ya, tengah-tengah pulak tu."
Car tires (Tayar kereta), Mahal gila tayar 17 inci ni.  Saiz besar memang macam tu la.
Car tires (Tayar kereta)," Boss, boleh check tire pressure ni?  Boleh, kejap saya tengokkan."
Car tires (Tayar kereta), Tayar depan cepat botak la.  Mungkin kau drive aggressive kot.
Car tires (Tayar kereta)," Tayar ni dah empat tahun, kena tukar.  Walaupun bunga ada, bahaya la."
Car tires (Tayar kereta), Tayar mana yang tahan lama boss?  Conti atau Goodyear boleh tahan.
Car tires (Tayar kereta), Tayar baru ni bau wangi la.  Bau getah baru memang camtu la.
Car tires (Tayar kereta), Aku nak tayar yang jimat minyak sikit.  Ada tayar low rolling resistance.
Car tires (Tayar kereta)," Weh, tayar ni dah tak grip langsung.  Hujan bahaya tu, tukar la."
Car tires (Tayar kereta)," Boss, tayar ni selalu pancit.  Mungkin ada bocor halus kot."
Car tires (Tayar kereta)," Tayar ni ada bulge kat tepi.  Tu dah rosak dalam tu, bahaya!"
Car tires (Tayar kereta)," Tayar secondhand boleh pakai lagi ke?  Kalau bunga tebal, boleh la."
Car tires (Tayar kereta)," Tayar ni bising sangat la.  Brand apa tu, murah sangat kot."
Car tires (Tayar kereta)," Tayar ni ada diskaun tak boss?  Ada, beli empat dapat free balancing."
Car tires (Tayar kereta), Tayar sport memang mahal gila.  Tapi performance dia mantap.
Car tires (Tayar kereta), Tayar belakang ni dah makan dalam.  Kena check camber setting ni.
Car tires (Tayar kereta)," Tayar ni dah keras gila.  Tu la, getah dah mati."
Car tires (Tayar kereta)," Tayar ni tak masuk rim aku la.  Saiz salah tu, boss."
Car tires (Tayar kereta)," Nak tayar yang senyap dan selesa.  Cari tayar comfort, tapi mahal sikit."
Car tires (Tayar kereta)," Weh, tayar aku kena skru besar.  Alamak, boleh repair ke tu?"
Car tires (Tayar kereta)," Tayar ni ada bunyi berdesing.  Bearing rosak kot, bukan tayar."
Car tires (Tayar kereta)," Boss, tayar ni takde angin langsung.  Mari kita check kebocoran dia."
Car tires (Tayar kereta), Aku nak tayar yang tahan lasak la.  Ambil tayar komersial ni.
Car tires (Tayar kereta)," Tayar ni berat sangat ke?  Tak sangat, tapi rim tu besar."
Car tires (Tayar kereta), Tayar ni tak pernah rotate lagi.  Kena rotate setiap 10k km kot.
Car tires (Tayar kereta)," Tayar ni nampak elok lagi.  Tapi dah expired, bahaya la."
Car tires (Tayar kereta), Tayar ni ada crack halus.  Tu tanda getah dah reput.
Car tires (Tayar kereta)," Boss, tayar ni selalu kurang angin.  Mungkin valve cap dah rosak."
Car tires (Tayar kereta)," Tayar ni ada brand apa yang elok?  Banyak brand bagus, ikut bajet."
Car tires (Tayar kereta)," Tayar aku tiba-tiba pecah masa drive.  Ya Allah, seramnya weh."
Car tires (Tayar kereta)," Tayar ni ada warranty pancit ke?  Ada, certain brand offer."
Car tires (Tayar kereta)," Tayar ni nak balancing balik.  Boleh boss, kejap kita buat."
Car tires (Tayar kereta)," Weh, tayar ni dah tak cantik la.  Tu la, nampak kusam dah."
Car tires (Tayar kereta), Tayar ni nak tukar saiz besar sikit.  Kena check fitment dulu kot.
Car tires (Tayar kereta), Tayar ni buat kereta aku makan minyak.  Tekanan angin kurang la tu.
Car tires (Tayar kereta), Tayar ni ada corak bunga agresif.  Untuk off-road memang mantap.
Car tires (Tayar kereta)," Boss, tayar ni ada bau hangit.  Mungkin ada brek sangkut."
Car tires (Tayar kereta)," Tayar ni mahal tapi berbaloi ke?  Kalau grip mantap, berbaloi la."
Car tires (Tayar kereta)," Tayar ni dah tak ada grip langsung bila hujan.  Kena tukar weh, bahaya gila."
Car tires (Tayar kereta), Tayar ni boleh pakai lagi setahun kot.  Tengok mileage kau la.
Car tires (Tayar kereta), Tayar ni ada bintik-bintik putih.  Tu tanda getah dah aging.
Car tires (Tayar kereta), Tayar ni rasa macam tak stabil.  Balancing dah lari la tu.
Car tires (Tayar kereta)," Tayar ni ada promotion tak boss?  Ada, setiap bulan ada promosi."
Car tires (Tayar kereta), Tayar ni cepat sangat haus.  Maybe kau banyak corners laju kot.
Car tires (Tayar kereta), Tayar ni untuk wet performance macam mana?  Yang ni memang mantap untuk hujan.
Car tires (Tayar kereta)," Tayar ni kalau buat drifting cepat rosak.  Memang la, bukan untuk tu."
Car tires (Tayar kereta)," Boss, tayar ni ada bunyi geseran.  Mungkin ada batu sangkut."
Car tires (Tayar kereta), Tayar ni harga berapa sebiji?  Yang ni RM250 la boss.
Car tires (Tayar kereta)," Tayar ni ada sensor tekanan angin tak?  Ada, TPMS tu."
Car tires (Tayar kereta)," Tayar ni dah lama simpan.  Jangan pakai, dah kering getah tu."
Car tires (Tayar kereta), Tayar ni kenapa jadi petak?  Kereta park lama sangat kot.
Car tires (Tayar kereta)," Weh, tayar belakang aku pancit.  Ada paku ke tu?"
Car tires (Tayar kereta)," Boss, tayar ni boleh sumbat angin nitrogen?  Boleh, cas lebih sikit la."
Car tires (Tayar kereta), Tayar ni ada side wall nipis.  Untuk performance memang macam tu.
Car tires (Tayar kereta), Tayar ni tak sesuai untuk jalan kampung.  Cepat rosak kalau banyak lubang.
Car tires (Tayar kereta), Tayar ni berbaloi ke beli yang mahal?  Bergantung pada pemanduan kau la.
Car tires (Tayar kereta), Tayar ni cepat panas la.  Tekanan angin rendah sangat kot.
Car tires (Tayar kereta)," Tayar ni kena tukar valve ke?  Ya, dah keras sangat ni."
Car tires (Tayar kereta)," Tayar ni banyak tayar tiruan ke?  Ada, kena hati-hati beli."
Car tires (Tayar kereta)," Tayar ni boleh repair tubeless ke?  Boleh, tapi kalau side wall, tak boleh."
Car tires (Tayar kereta)," Tayar ni bila nak rotate boss?  Lepas 5,000 km lagi kot."
Car tires (Tayar kereta), Tayar ni ada bunyi bila cornering.  Tu dah tanda bunga nak habis.
Car tires (Tayar kereta)," Tayar ni kena tukar sebiji ke empat-empat?  Kalau sama brand, dua pun boleh."
Car tires (Tayar kereta)," Tayar ni dah ada benang nampak.  Gila weh, bahaya tu."
Car tires (Tayar kereta)," Boss, tayar ni dah tak selamat.  Memang kena tukar segera ni."
Car tires (Tayar kereta), Tayar ni nak tukar offset rim.  Kena sesuaikan dengan tayar baru la.
Car tires (Tayar kereta), Tayar ni banyak getah tepi.  Tu rim kau terkeluar sikit.
Car tires (Tayar kereta)," Tayar ni untuk lumba, memang mantap.  Ya, tapi tak tahan lama."
Car tires (Tayar kereta)," Tayar ni dah kena makan tikus.  Haish, nakal betul tikus ni."
Car tires (Tayar kereta), Tayar ni nak pakai yang paling murah.  Risiko sikit la grip dia.
Car tires (Tayar kereta), Tayar ni ada marking TWI.  Itu tread wear indicator la.
Car tires (Tayar kereta)," Tayar ni nampak lain pulak bunga dia.  Oh, ni tayar unidirectional."
Car tires (Tayar kereta)," Boss, tayar ni ada bau getah kuat.  Itu biasa kalau tayar baru."
Car tires (Tayar kereta)," Tayar ni bengkak kat tepi.  Tu dah rosak dalam, kena tukar."
Car tires (Tayar kereta)," Tayar ni mahal tapi berbaloi untuk safety.  Betul la, nyawa takde ganti."
Car tires (Tayar kereta), Tayar ni kena aligment setiap berapa lama?  Setiap kali tukar tayar la.
Car tires (Tayar kereta)," Tayar ni dah tak boleh diselamatkan.  Habis tu, kena beli baru la."
Car tires (Tayar kereta), Tayar ni memang untuk jalan raya je.  Jangan buat off-road pulak.
